Year,Title,Authors,Number of authors,Abstract,Citations,Paper file
1996,Hebb Learning of Features based on their Information Content,"Ferdinand Peper, Hideki Noda",2,"This  paper  investigates  the  stationary  points  of a  Hebb  learning  rule  with  a  sigmoid  nonlinearity  in  it.  We  show  mathematically  that  when  the  input  has  a  low  information  content,  as  measured  by  the  input's  variance,  this learning rule suppresses learning,  that is,  forces the weight  vector  to  converge  to  the  zero  vector.  When  the  information  content  exceeds  a  certain  value,  the  rule  will  automatically  begin  to  learn  a  feature in the input.  Our analysis suggests that under certain conditions  it  is  the  first  principal  component  that  is  learned.  The  weight  vector  length  remains  bounded,  provided  the  variance  of  the  input  is  finite.  Simulations confirm the theoretical results derived.",0,https://papers.nips.cc/paper_files/paper/1996/file/0188e8b8b014829e2fa0f430f0a95961-Paper.pdf
1996,A Variational Principle for Model-based Morphing,"Lawrence Saul, Michael Jordan",2,"Given  a  multidimensional  data  set  and  a  model  of  its  density,  we  consider  how  to  define  the  optimal interpolation  between  two  points.  This is done by assigning a cost to each path through space,  based on two competing goals-one to interpolate through regions  of high  density,  the other  to minimize arc  length.  From this  path  functional,  we  derive  the  Euler-Lagrange  equations  for  extremal  motionj given two points, the desired  interpolation is found by solv(cid:173) ing a boundary value problem.  We show that this interpolation can  be done efficiently, in high dimensions, for Gaussian, Dirichlet, and  mixture models.",0,https://papers.nips.cc/paper_files/paper/1996/file/018b59ce1fd616d874afad0f44ba338d-Paper.pdf
1996,ARTEX: A Self-organizing Architecture for Classifying Image Regions,"Stephen Grossberg, James Williamson",2,"A self-organizing architecture is  developed for  image region  classi(cid:173) fication.  The system  consists  of a  preprocessor  that utilizes multi(cid:173) scale filtering, competition, cooperation, and diffusion to compute a  vector  of image boundary  and surface  properties,  notably  texture  and  brightness  properties.  This  vector  inputs  to  a  system  that  incrementally  learns  noisy  multidimensional  mappings  and  their  probabilities.  The  architecture  is  applied  to  difficult  real-world  image  classification  problems,  including  classification  of synthet(cid:173) ic  aperture  radar  and  natural  texture  images,  and  outperforms a  recent state-of-the-art system at classifying natural textures.",0,https://papers.nips.cc/paper_files/paper/1996/file/01e9565cecc4e989123f9620c1d09c09-Paper.pdf
1996,The CONDENSATION Algorithm - Conditional Density Propagation and Applications to Visual Tracking,"Andrew Blake, Michael Isard",2,The power of sampling methods in Bayesian reconstruction of noisy  signals is well known.  The extension of sampling to temporal prob(cid:173) lems  is  discussed.  Efficacy  of sampling over  time is  demonstrated  with visual tracking.,0,https://papers.nips.cc/paper_files/paper/1996/file/0829424ffa0d3a2547b6c9622c77de03-Paper.pdf
1996,A Silicon Model of Amplitude Modulation Detection in the Auditory Brainstem,"André van Schaik, Eric Fragnière, Eric Vittoz",3,"Detectim of the periodicity of amplitude modulatim is a major step in  the  determinatim  of  the  pitch  of  a  SOODd.  In  this  article  we  will  present  a silicm model  that uses  synchrroicity of spiking neurms  to  extract  the  fundamental  frequency  of  a  SOODd.  It  is  based  m  the  observatim that the so called  'Choppers'  in the mammalian  Cochlear  Nucleus  synchrmize well  for  certain  rates  of amplitude  modulatim,  depending  m  the  cell's  intrinsic  chopping  frequency.  Our  silicm  model uses  three different circuits, i.e.,  an  artificial cochlea,  an  Inner  Hair Cell circuit, and a spiking neuron circuit",0,https://papers.nips.cc/paper_files/paper/1996/file/0ce2ffd21fc958d9ef0ee9ba5336e357-Paper.pdf
1996,Adaptive On-line Learning in Changing Environments,"Noboru Murata, Klaus-Robert Müller, Andreas Ziehe, Shun-ichi Amari",4,"An adaptive on-line algorithm extending the learning of learning  idea is proposed and theoretically motivated. Relying only on gra(cid:173) dient flow information it can be applied to learning continuous  functions or distributions, even when no explicit loss function is gi(cid:173) ven and the Hessian is not available. Its efficiency is demonstrated  for a non-stationary blind separation task of acoustic signals.",0,https://papers.nips.cc/paper_files/paper/1996/file/0e095e054ee94774d6a496099eb1cf6a-Paper.pdf
1996,Minimizing Statistical Bias with Queries,David Cohn,1,"I describe  a  querying criterion that attempts to minimize the error  of a  learner  by  minimizing its estimated squared  bias.  I  describe  experiments  with  locally-weighted  regression  on  two  simple prob(cid:173) lems,  and observe  that this  ""bias-only""  approach  outperforms the  more  common  ""variance-only""  exploration  approach,  even  in  the  presence  of noise.",0,https://papers.nips.cc/paper_files/paper/1996/file/0e9fa1f3e9e66792401a6972d477dcc3-Paper.pdf
1996,A Micropower Analog VLSI HMM State Decoder for Wordspotting,"John Lazzaro, John Wawrzynek, Richard P. Lippmann",3,"We  describe  the  implementation of a  hidden  Markov  model  state  decoding  system,  a component for  a  wordspotting speech  recogni(cid:173) tion system.  The key  specification for  this state decoder  design  is  microwatt power dissipation; this requirement led to a continuous(cid:173) time, analog circuit implementation.  We characterize the operation  of a  10-word (81  state)  state decoder  test chip.",0,https://papers.nips.cc/paper_files/paper/1996/file/144a3f71a03ab7c4f46f9656608efdb2-Paper.pdf
1996,"Dual Kalman Filtering Methods for Nonlinear Prediction, Smoothing and Estimation","Eric Wan, Alex Nelson",2,"Prediction,  estimation,  and smoothing  are  fundamental  to  signal  processing.  To perform  these  interrelated  tasks  given  noisy  data,  we  form  a  time  series  model  of  the  process  that  generates  the  data.  Taking noise in the system explicitly into account, maximum(cid:173) likelihood and Kalman frameworks are discussed  which involve the  dual process  of estimating both the model parameters and the un(cid:173) derlying state of the system.  We  review  several  established  meth(cid:173) ods in the linear case,  and propose severa! extensions utilizing dual  Kalman filters  (DKF)  and forward-backward  (FB)  filters  that  are  applicable  to  neural  networks.  Methods  are  compared on  several  simulations of noisy  time series.  We  also  include  an  example  of  nonlinear noise reduction in speech.",0,https://papers.nips.cc/paper_files/paper/1996/file/147702db07145348245dc5a2f2fe5683-Paper.pdf
1996,Source Separation and Density Estimation by Faithful Equivariant SOM,"Juan Lin, Jack Cowan, David Grier",3,We  couple  the  tasks  of source  separation  and  density  estimation  by  extracting  the  local  geometrical  structure  of distributions  ob(cid:173) tained  from  mixtures  of statistically  independent  sources.  Our  modifications of the self-organizing map  (SOM)  algorithm  results  in  purely digital learning rules which perform non-parametric his(cid:173) togram density estimation.  The non-parametric nature of the sep(cid:173) aration  allows  for  source  separation  of non-linear  mixtures.  An  anisotropic coupling  is  introduced  into  our  SOM  with  the  role  of  aligning the network locally with the independent component con(cid:173) tours.  This  approach  provides  an  exact  verification  condition  for  source separation with no prior on  the source distributions.,0,https://papers.nips.cc/paper_files/paper/1996/file/160c88652d47d0be60bfbfed25111412-Paper.pdf
