Year,Title,Authors,Number of authors,Abstract,Citations,Paper file
1991,English Alphabet Recognition with Telephone Speech,"Mark Fanty, Ronald Cole, Krist Roginski",3,"A recognition system is reported which recognizes names spelled over the  telephone with brief pauses between letters. The system uses separate  neural networks to locate segment boundaries and classify letters. The  letter scores are then used to search a database of names to find the best  scoring name. The speaker-independent classification rate for spoken let(cid:173) ters is 89%. The system retrieves the correct name, spelled with pauses  between letters, 91 % of the time from a database of 50,000 names.",0,https://papers.nips.cc/paper_files/paper/1991/file/01f78be6f7cad02658508fe4616098a9-Paper.pdf
1991,Recognizing Overlapping Hand-Printed Characters by Centered-Object Integrated Segmentation and Recognition,"Gale L. Martin, Mosfeq Rashid",2,"This paper describes an approach, called centered object integrated seg(cid:173) mentation and recognition (COISR). for integrating object segmenta(cid:173) tion and recognition within a single neural network. The application  is hand-printed character recognition. 1\vo versions of the system are  described. One uses a backpropagation network that scans exhaus(cid:173) tively over a field of characters and is trained to recognize whether  it is centered over a single character or between characters. When  it is centered over a character, the net classifies the cnaracter. The  approach is tested on a dataset of hand-printed digits. Vel)' low errOr  rates are reported. The second version, COISR-SACCADE, avoids  the need for exhaustive scans. The net is trained as before. but also  is trained to compute ballistic 'eye' movements that enable the input  window to jump from one character to the next. ",0,https://papers.nips.cc/paper_files/paper/1991/file/0353ab4cbed5beae847a7ff6e220b5cf-Paper.pdf
1991,Adaptive Soft Weight Tying using Gaussian Mixtures,"Steven Nowlan, Geoffrey E. Hinton",2,"One way  of simplifying neural  networks  so  they generalize  better is  to add  an  extra  t.erm  10  the  error  fUll ction  that  will  penalize  complexit.y.  \Ve  propose  a  new  penalt.y  t.erm  in  which  the  dist rihution  of  weight  values  is  modelled  as  a  mixture  of  multiple  gaussians .  C nder  this  model,  a  set  of  weights  is  simple  if  the  weights  can  be  clustered  into  subsets  so  that  the  weights  in  each  cluster  have  similar  values .  We  allow  the  parameters  of  the  mixture  model  to  adapt  at  t.he  same  time  as  t.he  network  learns.  Simulations demonstrate  that  this complexity  term  is  more  effective  than  previous  complexity terms.",0,https://papers.nips.cc/paper_files/paper/1991/file/05f971b5ec196b8c65b75d2ef8267331-Paper.pdf
1991,Multi-State Time Delay Networks for Continuous Speech Recognition,"Patrick Haffner, Alex Waibel",2,"We present the ""Multi-State Time Delay Neural Network"" (MS-TDNN) as  an  extension of the TDNN to robust word recognition. Unlike most other hybrid  methods. the MS-TDNN embeds an alignment search procedure into the con(cid:173) nectionist architecture. and allows for word level supervision. The resulting  system  has the ability to manage the sequential order of subword units. while  optimizing for the recognizer performance. In this paper we present extensive  new evaluations of this approach over speaker-dependent and speaker-indepen(cid:173) dent connected alphabet.",0,https://papers.nips.cc/paper_files/paper/1991/file/069d3bb002acd8d7dd095917f9efe4cb-Paper.pdf
1991,Neural Network - Gaussian Mixture Hybrid for Speech Recognition or Density Estimation,"Yoshua Bengio, Renato De Mori, Giovanni Flammia, Ralf Kompe",4,"The subject of this paper is the integration of multi-layered Artificial Neu(cid:173) ral Networks (ANN) with probability density functions such as Gaussian  mixtures found in continuous density Hidden Markov Models (HMM). In  the first part of this paper we present an ANN/HMM hybrid in which  all the parameters of the the system are simultaneously optimized with  respect to a single criterion. In the second part of this paper, we study  the relationship between the density of the inputs of the network and the  density of the outputs of the networks. A few experiments are presented  to explore how to perform density estimation with ANNs.",0,https://papers.nips.cc/paper_files/paper/1991/file/07563a3fe3bbe7e3ba84431ad9d055af-Paper.pdf
1991,Threshold Network Learning in the Presence of Equivalences,John Shawe-Taylor,1,This  paper  applies  the  theory  of Probably  Approximately  Correct  (PAC)  learning  to  multiple  output  feedforward  threshold  networks  in  which  the  weights  conform  to  certain  equivalences.  It is  shown that  the sample  size  for  reliable  learning  can  be  bounded  above  by  a  formula  similar  to  that  required  for  single  output  networks  with  no equivalences.  The best  previ(cid:173) ously obtained  bounds  are improved for  all  cases.,0,https://papers.nips.cc/paper_files/paper/1991/file/087408522c31eeb1f982bc0eaf81d35f-Paper.pdf
1991,Node Splitting: A Constructive Algorithm for Feed-Forward Neural Networks,Mike Wynne-Jones,1,"A constructive algorithm is proposed for feed-forward neural networks,  which uses node-splitting in the hidden layers to build large networks from  smaller ones. The small network forms an approximate model of a set of  training data, and the split creates a larger more powerful network which is  initialised with the approximate solution already found. The insufficiency  of the smaller network in modelling the system which generated the data  leads to oscillation in those hidden nodes whose weight vectors cover re(cid:173) gions in the input space where more detail is required in the model. These  nodes are identified and split in two using principal component analysis,  allowing the new nodes t.o cover the two main modes of each oscillating  vector. Nodes are selected for splitting using principal component analysis  on the oscillating weight vectors, or by examining the Hessian matrix of  second derivatives of the network error with respect to the weight.s. The  second derivat.ive method can also be applied to the input layer, where it  provides a useful indication of t.he relative import.ances of parameters for  the classification t.ask. Node splitting in a standard Multi Layer Percep(cid:173) t.ron is equivalent to introducing a hinge in the decision boundary to allow  more detail to be learned. Initial results were promising, but further eval(cid:173) uation indicates that the long range effects of decision boundaries cause  the new nodes to slip back to the old node position, and nothing is gained.  This problem does not occur in networks of localised receptive fields such  as radial basis functions or gaussian mixtures, where the t.echnique appears  to work well.",0,https://papers.nips.cc/paper_files/paper/1991/file/0fcbc61acd0479dc77e3cccc0f5ffca7-Paper.pdf
1991,Structural Risk Minimization for Character Recognition,"I. Guyon, V. Vapnik, B. Boser, L. Bottou, S. A. Solla",5,"The method of Structural Risk Minimization refers to tuning the capacity  of the classifier to the available amount of training data. This capac(cid:173) ity is influenced by several factors, including: (1) properties of the input  space, (2) nature and structure of the classifier, and (3) learning algorithm.  Actions based on these three factors are combined here to control the ca(cid:173) pacity of linear classifiers and improve generalization on the problem of  handwritten digit recognition. ",0,https://papers.nips.cc/paper_files/paper/1991/file/10a7cdd970fe135cf4f7bb55c0e3b59f-Paper.pdf
1991,Computer Recognition of Wave Location in Graphical Data by a Neural Network,Donald Freeman,1,Five experiments were performed using several neural  network architectures to  identify  the  location  of a  wave  in  the  time  ordered  graphical  results  from  a  medical  test.  Baseline  results  from  the  first  experiment  found  correct  identification of the  target  wave in  85%  of cases  (n=20).  Other  experiments  investigated the effect of different architectures and preprocessing the raw data on  the results.  The methods used seem most appropriate for time oriented graphical  data  which  has  a clear starting point such  as  electrophoresis  Or  spectrometry  rather than continuous teSts such as ECGs and EEGs.,0,https://papers.nips.cc/paper_files/paper/1991/file/11b921ef080f7736089c757404650e40-Paper.pdf
1991,Improved Hidden Markov Model Speech Recognition Using Radial Basis Function Networks,"Elliot Singer, Richard P. Lippmann",2,"A high performance speaker-independent isolated-word hybrid speech rec(cid:173) ognizer was developed which combines Hidden Markov Models (HMMs)  and Radial Basis Function (RBF) neural networks. In recognition ex(cid:173) periments using a speaker-independent E-set database, the hybrid rec(cid:173) ognizer had an error rate of 11.5% compared to 15.7% for the robust  unimodal Gaussian HMM recognizer upon which the hybrid system was  based. These results and additional experiments demonstrate that RBF  networks can be successfully incorporated in hybrid recognizers and sug(cid:173) gest that they may be capable of good performance with fewer parameters  than required by Gaussian mixture classifiers. A global parameter opti(cid:173) mization method designed to minimize the overall word error rather than  the frame recognition error failed to reduce the error rate. ",0,https://papers.nips.cc/paper_files/paper/1991/file/13f320e7b5ead1024ac95c3b208610db-Paper.pdf
1991,Connectionist Optimisation of Tied Mixture Hidden Markov Models,"Steve Renals, Nelson Morgan, Hervé Bourlard, Horacio Franco, Michael Cohen",5,"Issues  relating  to  the  estimation  of hidden  Markov  model  (HMM)  local  probabilities are  discussed.  In  particular  we  note  the  isomorphism of ra(cid:173) dial  basis  functions  (RBF)  networks  to  tied  mixture  density  modellingj  additionally  we  highlight  the  differences  between  these  methods  arising  from  the  different  training  criteria  employed.  We  present  a  method  in  which  connectionist  training  can  be  modified  to  resolve  these  differences  and  discuss  some preliminary experiments.  Finally,  we  discuss  some out(cid:173) standing problems with discriminative training.",0,https://papers.nips.cc/paper_files/paper/1991/file/13f3cf8c531952d72e5847c4183e6910-Paper.pdf
1991,Principled Architecture Selection for Neural Networks: Application to Corporate Bond Rating Prediction,"John Moody, Joachim Utans",2,"The notion of generalization ability can be defined precisely as the pre(cid:173) diction risk, the expected performance of an estimator in predicting new  observations. In this paper, we propose the prediction risk as a measure  of the generalization ability of multi-layer perceptron networks and use it  to select an optimal network architecture from a set of possible architec(cid:173) tures. We also propose a heuristic search strategy to explore the space of  possible architectures. The prediction risk is estimated from the available  data; here we estimate the prediction risk by v-fold cross-validation and  by asymptotic approximations of generalized cross-validation or Akaike's  final prediction error. We apply the technique to the problem of predicting  corporate bond ratings. This problem is very attractive as a case study,  since it is characterized by the limited availability of the data and by the  lack of a complete a priori model which could be used to impose a structure  to the network architecture. ",0,https://papers.nips.cc/paper_files/paper/1991/file/15d4e891d784977cacbfcbb00c48f133-Paper.pdf
