Year,Title,Authors,Number of authors,Abstract,Citations,Paper file
1995,Learning to Predict Visibility and Invisibility from Occlusion Events,"Jonathan Marshall, Richard Alley, Robert Hubbard",3,"Visual  occlusion  events  constitute  a  major source  of depth  information.  This paper presents a self-organizing neural network that learns to detect,  represent,  and predict the visibility and invisibility relationships that arise  during  occlusion  events,  after  a  period  of exposure  to  motion sequences  containing occlusion  and  disocclusion events.  The  network develops  two  parallel opponent  channels  or  ""chains""  of lateral  excitatory  connections  for  every  resolvable  motion trajectory.  One  channel,  the  ""On""  chain or  ""visible""  chain, is  activated when a moving stimulus is visible.  The other  channel, the  ""Off""  chain or  ""invisible""  chain,  carries  a persistent,  amodal  representation that predicts the motion of a formerly visible stimulus that  becomes  invisible  due  to occlusion.  The  learning  rule  uses  disinhibition  from  the  On  chain  to  trigger  learning  in  the  Off  chain.  The  On  and  Off chain  neurons  can  learn  separate  associations  with  object  depth  or(cid:173) dering.  The results  are closely  related  to the  recent  discovery  (Assad  &  Maunsell,  1995)  of neurons in macaque monkey posterior  parietal cortex  that respond selectively to inferred  motion of invisible stimuli. ",0,https://papers.nips.cc/paper_files/paper/1995/file/00e26af6ac3b1c1c49d7c3d79c60d000-Paper.pdf
1995,Onset-based Sound Segmentation,Leslie Smith,1,"A technique for  segmenting sounds using processing based on mam(cid:173) malian  early  auditory  processing  is  presented.  The  technique  is  based on features in sound which neuron spike recording suggests  are  detected in  the  cochlear  nucleus.  The  sound  signal  is  band(cid:173) passed  and  each  signal  processed  to  enhance  onsets  and  offsets.  The onset and offset signals are compressed, then clustered both in  time and  across  frequency  channels  using  a  network  of integrate(cid:173) and-fire  neurons.  Onsets  and  offsets  are  signalled  by  spikes,  and  the timing of these spikes used to segment the sound.",0,https://papers.nips.cc/paper_files/paper/1995/file/021bbc7ee20b71134d53e20206bd6feb-Paper.pdf
1995,Beating a Defender in Robotic Soccer: Memory-Based Learning of a Continuous Function,"Peter Stone, Manuela Veloso",2,"Learning how to adjust to an opponent's position is critical to  the success of having intelligent agents collaborating towards the  achievement of specific tasks in unfriendly environments. This pa(cid:173) per describes our work on a Memory-based technique for to choose  an action based on a continuous-valued state attribute indicating  the position of an opponent. We investigate the question of how an  agent performs in nondeterministic variations of the training situ(cid:173) ations. Our experiments indicate that when the random variations  fall within some bound of the initial training, the agent performs  better with some initial training rather than from a tabula-rasa.",0,https://papers.nips.cc/paper_files/paper/1995/file/03f544613917945245041ea1581df0c2-Paper.pdf
1995,A Neural Network Autoassociator for Induction Motor Failure Prediction,"Thomas Petsche, Angelo Marcantonio, Christian Darken, Stephen Hanson, Gary Kuhn, N. Santoso",6,"We  present results  on  the  use  of neural  network based  autoassociators  which  act  as  novelty  or anomaly  detectors  to  detect  imminent  motor  failures.  The autoassociator is  trained  to  reconstruct  spectra obtained  from the healthy motor.  In laboratory tests, we have demonstrated that the  trained autoassociator has a small reconstruction error on measurements  recorded from healthy motors but a larger error on those recorded from a  motor with a fault.  We have designed and built a motor monitoring system  using an  autoassociator for anomaly detection and are in the process of  testing the system at three industrial and commercial sites.",0,https://papers.nips.cc/paper_files/paper/1995/file/062ddb6c727310e76b6200b7c71f63b5-Paper.pdf
1995,The Gamma MLP for Speech Phoneme Recognition,"Steve Lawrence, Ah Tsoi, Andrew Back",3,"We  define  a  Gamma  multi-layer  perceptron  (MLP)  as  an  MLP  with the usual synaptic weights replaced by gamma filters  (as pro(cid:173) posed by de Vries and Principe  (de Vries and Principe,  1992)) and  associated  gain  terms  throughout  all  layers.  We  derive  gradient  descent  update equations and apply  the  model  to  the recognition  of speech  phonemes.  We  find  that  both  the  inclusion  of gamma  filters  in  all  layers,  and  the  inclusion  of synaptic  gains,  improves  the  performance  of the  Gamma  MLP.  We  compare  the  Gamma  MLP  with  TDNN,  Back-Tsoi FIR MLP,  and Back-Tsoi I1R  MLP  architectures, and a  local approximation scheme.  We find  that the  Gamma MLP results in an substantial reduction  in error rates.",0,https://papers.nips.cc/paper_files/paper/1995/file/0768281a05da9f27df178b5c39a51263-Paper.pdf
1995,Laterally Interconnected Self-Organizing Maps in Hand-Written Digit Recognition,"Yoonsuck Choe, Joseph Sirosh, Risto Miikkulainen",3,"An  application  of  laterally  interconnected  self-organizing  maps  (LISSOM)  to handwritten  digit recognition  is  presented.  The lat(cid:173) eral connections  learn the correlations of activity between units on  the  map.  The  resulting  excitatory  connections  focus  the  activity  into local patches and the inhibitory connections decorrelate redun(cid:173) dant activity on the map.  The map thus forms internal representa(cid:173) tions that are easy to recognize with e.g.  a perceptron network.  The  recognition rate on a subset of NIST database 3 is 4.0% higher with  LISSOM  than  with  a  regular  Self-Organizing  Map  (SOM)  as  the  front  end,  and 15.8% higher than recognition of raw input bitmaps  directly.  These results form a promising starting point for  building  pattern  recognition systems with a  LISSOM  map as  a  front  end.",0,https://papers.nips.cc/paper_files/paper/1995/file/09c6c3783b4a70054da74f2538ed47c6-Paper.pdf
1995,Improved Silicon Cochlea using Compatible Lateral Bipolar Transistors,"André van Schaik, Eric Fragnière, Eric Vittoz",3,"Analog  electronic  cochlear  models  need  exponentially  scaled  filters.  CMOS  Compatible  Lateral  Bipolar  Transistors  (CLBTs)  can  create  exponentially scaled currents when biased using a resistive line with a  voltage  difference  between both  ends  of the  line.  Since these  CLBTs  are  independent  of  the  CMOS  threshold  voltage,  current  sources  implemented  with  CLBTs  are  much  better  matched  than  current  sources  created  with  MOS  transistors  operated  in  weak  inversion.  Measurements  from  integrated  test  chips  are  shown  to  verify  the  improved matching.",0,https://papers.nips.cc/paper_files/paper/1995/file/0a0a0c8aaa00ade50f74a3f0ca981ed7-Paper.pdf
1995,On the Computational Power of Noisy Spiking Neurons,Wolfgang Maass,1,"It  has  remained  unknown  whether  one  can  in  principle  carry out  reliable digital  computations with networks of biologically realistic  models  for  neurons.  This  article  presents  rigorous  constructions  for  simulating in  real-time arbitrary given  boolean circuits  and fi(cid:173) nite automata with arbitrarily high reliability by networks of noisy  spiking neurons.  In  addition  we  show  that  with  the  help  of  ""shunting  inhibition""  even  networks  of very  unreliable  spiking  neurons  can  simulate  in  real-time  any  McCulloch-Pitts  neuron  (or  ""threshold  gate""),  and  therefore  any  multilayer  perceptron  (or  ""threshold  circuit"")  in  a  reliable  manner.  These  constructions  provide  a  possible  explana(cid:173) tion for  the fact  that biological  neural systems can carry out quite  complex  computations within  100  msec.  It  turns  out that the assumption  that these  constructions require  about the shape of the  EPSP's and  the behaviour of the  noise  are  surprisingly weak.",0,https://papers.nips.cc/paper_files/paper/1995/file/0c048b3a434e49e655c1247efb389cec-Paper.pdf
1995,Parallel Optimization of Motion Controllers via Policy Iteration,"Jefferson Coelho, R. Sitaraman, Roderic Grupen",3,"This paper describes a  policy iteration algorithm for optimizing the  performance  of a  harmonic function-based  controller  with  respect  to a  user-defined  index.  Value functions  are represented  as poten(cid:173) tial  distributions  over  the  problem  domain,  being  control  policies  represented  as  gradient  fields  over  the  same domain.  All  interme(cid:173) diate  policies  are intrinsically  safe,  i.e.  collisions  are not  promoted  during  the adaptation process.  The algorithm  has  efficient  imple(cid:173) mentation in parallel  SIMD  architectures.  One  potential  applica(cid:173) tion - travel distance  minimization - illustrates  its usefulness.",0,https://papers.nips.cc/paper_files/paper/1995/file/0eec27c419d0fe24e53c90338cdc8bc6-Paper.pdf
1995,Model Matching and SFMD Computation,"Steven Rehfuss, Dan Hammerstrom",2,"In  systems  that  process sensory  data there is  frequently  a  model  matching stage where class hypotheses are combined to recognize a  complex entity.  We introduce a new model of parallelism, the Single  Function  Multiple  Data  (SFMD) model, appropriate to this stage.  SFMD functionality can be added with small hardware expense to  certain existing SIMD architectures, and as an incremental addition  to the programming model.  Adding  SFMD  to an SIMD  machine  will  not  only  allow  faster  model  matching,  but  also  increase  its  flexibility as a  general purpose machine and its scope in performing  the initial stages of sensory processing.",0,https://papers.nips.cc/paper_files/paper/1995/file/0f2c9a93eea6f38fabb3acb1c31488c6-Paper.pdf
